labels,count,top_state,state_count,first_day,last_day,#_days,year_50%,month_50%,diff_year,diff_month,latitude_mean,latitude_50%,diff_latitude,longitude_mean,longitude_50%,diff_longitude,brightness_mean,brightness_50%,brightness_std,diff_brightness,frp_mean,frp_50%,frp_std,diff_frp,nearest_aq_monitor,SITE_LATITUDE,SITE_LONGITUDE,geometry,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
864,8,ID,1,2006-09-27,2006-09-29,2,2006,9,0.0,0.0,46.9039625,46.90415,0.0146000000000015,-116.59361249999999,-116.59025,0.031999999999996476,361.8625,350.65,29.247707480367463,91.30000000000001,228.28750000000002,144.5,200.0564665823841,504.1,"(46.72182012, -116.960176895)",46.72182012,-116.960176895,POINT (-116.960176895 46.72182012),9.5,40
865,7,ID,1,2006-09-28,2006-10-03,5,2006,9,0.0,1.0,44.21104285714286,44.2035,0.06099999999999994,-115.85188571428571,-115.8476,0.03499999999999659,347.4857142857142,351.4,26.364586637598336,59.10000000000002,84.20000000000002,77.9,62.32971468997218,165.9,"(44.104498, -115.972386)",44.104498,-115.972386,POINT (-115.972386 44.104498),23.1,74
866,21,ID,1,2006-09-29,2006-10-01,2,2006,9,0.0,1.0,43.45457619047619,43.4525,0.06279999999999575,-115.19772380952384,-115.1949,0.05030000000000712,383.2809523809524,371.5,38.82081425018825,149.5,392.4428571428572,264.9,347.71985357673867,1201.8,"(43.822910411, -115.83949967)",43.822910411,-115.83949967,POINT (-115.83949967 43.822910411),13.0,53
867,11,OR,1,2006-09-29,2006-09-30,2,2006,9,0.0,0.0,42.842099999999995,42.8454,0.05719999999999459,-118.51783636363635,-118.5184,0.039299999999997226,392.46363636363634,382.8,36.2989331173045,122.5,583.1181818181819,359.1,420.07157680133946,1297.6999999999998,"(43.586260757, -119.052158537)",43.586260757,-119.052158537,POINT (-119.052158537 43.586260757),8.7,36
872,9,ID,1,2006-10-27,2006-11-01,6,2006,10,0.0,1.0,47.22106666666666,47.23,0.07890000000000441,-116.27224444444444,-116.2686,0.12720000000000198,363.70000000000005,356.5,14.42965696057949,40.30000000000001,134.45555555555555,95.5,103.25234998670868,338.1,"(47.316576569, -116.571281045)",47.316576569,-116.571281045,POINT (-116.571281045 47.316576569),47.8,131
875,31,CA,1,2006-12-03,2006-12-04,1,2006,12,0.0,0.0,34.32317096774192,34.3165,0.10679999999999978,-118.89377096774193,-118.8929,0.07520000000000948,353.0548387096774,352.0,25.96032663777143,107.80000000000001,168.06774193548395,64.8,200.74102451848543,650.3,"(34.210169, -118.870509)",34.210169,-118.870509,POINT (-118.870509 34.210169),2.1,9
877,6,CA,1,2007-01-11,2007-01-12,2,2007,1,0.0,0.0,39.248466666666666,39.2402,0.04240000000000066,-122.25261666666667,-122.24445,0.05639999999999645,383.3833333333334,378.5,27.082792815119095,74.19999999999999,285.4166666666667,243.8,167.20140449968315,465.9,"(39.18919, -121.99887)",39.18919,-121.99887,POINT (-121.99887 39.18919),2.0,8
877,6,CA,1,2007-01-11,2007-01-12,2,2007,1,0.0,0.0,39.248466666666666,39.2402,0.04240000000000066,-122.25261666666667,-122.24445,0.05639999999999645,383.3833333333334,378.5,27.082792815119095,74.19999999999999,285.4166666666667,243.8,167.20140449968315,465.9,"(39.18919, -121.99887)",39.18919,-121.99887,POINT (-121.99887 39.18919),6.1,25
881,11,CA,1,2007-04-05,2007-04-06,2,2007,4,0.0,0.0,39.68820909090909,39.6888,0.02120000000000033,-122.70358181818183,-122.7036,0.021399999999999864,363.50909090909096,360.0,21.728987760383795,85.59999999999997,227.8090909090909,215.3,146.2299863539996,547.6,"(39.53387, -122.190834)",39.53387,-122.190834,POINT (-122.190834 39.53387),11.8,49
882,7,CA,1,2007-05-10,2007-05-11,2,2007,5,0.0,0.0,33.35718571428572,33.3554,0.042099999999997806,-118.36452857142856,-118.3714,0.041400000000010095,353.25714285714287,343.9,28.426798221798688,82.5,169.77142857142854,49.9,241.71957384736635,665.9,"(33.79236, -118.17533)",33.79236,-118.17533,POINT (-118.17533 33.79236),10.1,42
893,14,UT,1,2007-06-24,2007-06-29,6,2007,6,0.0,0.0,40.24043571428571,40.2466,0.05460000000000065,-111.92871428571428,-111.9286,0.04250000000000398,375.4857142857143,377.95000000000005,33.461501578860556,94.69999999999999,261.90000000000003,132.65,291.1768561174833,757.8000000000001,"(40.341389, -111.713611)",40.341389,-111.713611,POINT (-111.713611 40.341389),5.6,23
893,14,UT,1,2007-06-24,2007-06-29,6,2007,6,0.0,0.0,40.24043571428571,40.2466,0.05460000000000065,-111.92871428571428,-111.9286,0.04250000000000398,375.4857142857143,377.95000000000005,33.461501578860556,94.69999999999999,261.90000000000003,132.65,291.1768561174833,757.8000000000001,"(40.341389, -111.713611)",40.341389,-111.713611,POINT (-111.713611 40.341389),7.6,32
893,14,UT,1,2007-06-24,2007-06-29,6,2007,6,0.0,0.0,40.24043571428571,40.2466,0.05460000000000065,-111.92871428571428,-111.9286,0.04250000000000398,375.4857142857143,377.95000000000005,33.461501578860556,94.69999999999999,261.90000000000003,132.65,291.1768561174833,757.8000000000001,"(40.341389, -111.713611)",40.341389,-111.713611,POINT (-111.713611 40.341389),8.4,35
906,14,OR,1,2007-07-05,2007-07-06,2,2007,7,0.0,0.0,43.488314285714296,43.48795,0.044299999999999784,-119.94342142857145,-119.94040000000001,0.061499999999995225,366.1857142857143,365.0,19.33115688140847,85.39999999999998,324.65,258.9,270.71276219525487,1049.8,"(43.586260757, -119.052158537)",43.586260757,-119.052158537,POINT (-119.052158537 43.586260757),5.9,25
918,515,OR,1,2007-07-07,2007-07-20,13,2007,7,0.0,0.0,43.7543172815534,43.7824,0.37590000000000146,-119.44834077669908,-119.4086,0.4859000000000009,358.93650485436893,354.3,34.639910117871246,186.10000000000002,212.8122330097087,127.2,281.8370954841083,2203.3,"(43.586260757, -119.052158537)",43.586260757,-119.052158537,POINT (-119.052158537 43.586260757),7.9,33
922,130,ID,1,2007-07-07,2007-07-20,13,2007,7,0.0,0.0,42.143286923076914,42.145849999999996,0.24309999999999832,-113.08994230769225,-113.0808,0.26309999999999434,368.91846153846166,363.05,36.895426881208074,182.7,282.51846153846157,154.35,347.97445103233986,1973.6,"(41.945874098, -112.233973021)",41.945874098,-112.233973021,POINT (-112.233973021 41.945874098),6.1,25
927,9,OR,1,2007-07-07,2007-07-09,2,2007,7,0.0,0.0,44.022511111111115,44.0327,0.05349999999999966,-118.82558888888889,-118.8245,0.05660000000000309,353.9888888888889,364.7,31.450017664718597,84.20000000000005,137.7111111111111,109.0,96.68967685906864,261.40000000000003,"(44.4172, -118.9547)",44.4172,-118.9547,POINT (-118.9547 44.4172),2.7,11
936,9,UT,1,2007-07-13,2007-07-14,1,2007,7,0.0,0.0,41.87446666666668,41.8777,0.033099999999997465,-112.2720222222222,-112.2715,0.04590000000000316,358.5333333333333,346.6,31.00419326478275,86.80000000000001,143.3222222222222,124.9,103.2231536257464,287.79999999999995,"(41.945874098, -112.233973021)",41.945874098,-112.233973021,POINT (-112.233973021 41.945874098),9.9,41
942,8,OR,1,2007-07-14,2007-07-14,1,2007,7,0.0,0.0,45.94510000000001,45.94865,0.02839999999999776,-118.968075,-118.9674,0.07939999999999259,343.97499999999997,336.8,24.014445057684995,63.19999999999999,85.8875,52.400000000000006,76.55596342359154,208.9,"(45.828968, -119.262991)",45.828968,-119.262991,POINT (-119.262991 45.828968),8.4,35
